NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 73 91
2 88 91
3 71 79
4 0 8
5 100 26
6 33 23
7 33 74
8 13 25
9 83 41
10 7 48
11 65 55
12 15 24
13 11 26
14 7 48
15 76 47
16 86 72
17 79 58
18 34 74
19 60 7
20 19 14
21 94 35
22 49 42
23 65 80
24 75 55
25 64 92
26 0 100
27 30 18
28 1 72
29 48 62
30 79 52
31 92 80
32 78 21
33 84 1
34 9 9
35 40 29
36 1 73
37 0 69
38 20 98
39 5 71
40 12 100
41 74 53
42 29 14
43 59 36
44 86 64
45 49 65
46 53 25
47 45 39
48 93 78
49 65 37
50 88 33
EOF
