NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 5 9
2 34 11
3 62 80
4 3 13
5 42 10
6 96 24
7 60 62
8 48 88
9 70 28
10 23 13
11 50 87
12 81 57
13 35 48
14 12 4
15 95 33
16 100 90
17 90 62
18 91 54
19 52 51
20 30 11
21 99 49
22 3 18
23 84 10
24 27 19
25 48 53
26 1 63
27 6 44
28 3 25
29 63 90
30 50 93
31 92 88
32 87 49
33 38 27
34 92 67
35 70 11
36 51 32
37 45 37
38 17 71
39 8 81
40 71 52
41 35 29
42 26 24
43 10 75
44 76 5
45 42 4
46 14 56
47 48 95
48 40 83
49 19 27
50 87 73
EOF
