--------------------------------------------------
Experiment Date: 2025-01-09 21:55:53
Instance Information: 50 nodes  TSP Problems
Algorithm: ACO
--------------------------------------------------
Problem    Cost       Time(s)    Mermory(MB) 
p01        700        4.56       38.48      
p02        639        4.63       122.48     
p03        646        4.23       58.51      
p04        635        4.36       142.51     
p05        617        4.13       80.59      
p06        628        4.34       16.53      
p07        666        4.14       98.53      
p08        701        4.07       28.61      
p09        671        4.12       110.61     
p10        715        4.07       40.69      
p11        614        4.08       120.69     
p12        598        4.09       52.61      
p13        640        4.43       130.61     
p14        605        4.41       62.59      
p15        748        4.22       140.59     
p16        712        4.48       72.52      
p17        623        4.46       4.60       
p18        673        4.22       82.60      
p19        544        4.12       14.60      
p20        546        4.14       94.60      
