--------------------------------------------------
Experiment Date: 2025-01-09 21:08:36
Instance Information: 25 nodes  TSP Problems
Algorithm: GA
--------------------------------------------------
Problem    Cost       Time(s)    Mermory(MB) 
p01        401        0.59       98.12      
p02        481        0.58       94.18      
p03        462        0.49       92.13      
p04        390        0.52       90.19      
p05        496        0.50       88.12      
p06        412        0.48       86.19      
p07        408        0.48       84.12      
p08        487        0.52       82.18      
p09        408        0.48       80.24      
p10        404        0.48       78.19      
p11        432        0.47       76.18      
p12        422        0.48       72.25      
p13        378        0.46       70.25      
p14        453        0.47       68.13      
p15        561        0.49       66.24      
p16        505        0.48       62.07      
p17        450        0.48       58.06      
p18        439        0.50       54.06      
p19        465        0.48       48.06      
p20        453        0.50       44.06      
