--------------------------------------------------
Experiment Date: 2025-01-09 16:33:31
Instance Information: 25 nodes  TSP Problems
Algorithm: SA
--------------------------------------------------
Problem    Cost       Time(s)    Mermory(MB) 
p01        401        0.73       28.00      
p02        497        0.68       2.12       
p03        493        0.77       136.19     
p04        380        0.71       120.24     
p05        457        0.65       99.97      
p06        412        0.71       75.98      
p07        383        0.66       53.98      
p08        457        0.73       31.98      
p09        407        0.63       9.98       
p10        390        0.62       137.98     
p11        433        0.61       113.98     
p12        402        0.61       91.98      
p13        366        0.62       69.98      
p14        412        0.62       45.99      
p15        456        0.62       23.98      
p16        448        0.62       1.99       
p17        434        0.61       129.99     
p18        435        0.61       105.98     
p19        430        0.62       83.99      
p20        390        0.61       61.98      
