NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 79 81
2 74 17
3 54 42
4 77 46
5 39 52
6 19 7
7 23 78
8 91 19
9 52 59
10 76 6
11 68 20
12 91 67
13 70 6
14 33 45
15 76 17
16 6 46
17 71 84
18 55 85
19 75 15
20 94 62
21 92 54
22 31 68
23 69 5
24 35 53
25 40 9
26 54 77
27 12 64
28 58 50
29 62 45
30 94 0
31 84 42
32 2 95
33 11 10
34 64 75
35 31 49
36 42 28
37 54 3
38 17 94
39 9 25
40 91 17
41 70 77
42 4 29
43 73 64
44 99 39
45 38 30
46 48 39
47 20 57
48 49 29
49 57 9
50 20 91
51 35 51
52 78 27
53 12 75
54 96 23
55 17 14
56 31 4
57 17 31
58 64 51
59 25 42
60 94 9
61 75 88
62 15 60
63 78 39
64 25 78
65 64 56
66 0 84
67 17 36
68 13 97
69 13 99
70 7 97
71 5 96
72 75 95
73 85 66
74 61 47
75 79 57
76 28 90
77 24 49
78 22 49
79 45 31
80 73 1
81 73 8
82 45 85
83 73 46
84 92 61
85 3 43
86 17 69
87 89 94
88 24 48
89 25 54
90 28 100
91 13 11
92 72 22
93 20 93
94 69 23
95 89 80
96 17 68
97 78 34
98 2 68
99 77 78
100 94 85
EOF
