NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 83 70
2 44 90
3 65 78
4 66 58
5 86 53
6 36 15
7 87 26
8 8 4
9 20 100
10 2 26
11 24 92
12 85 57
13 17 0
14 23 19
15 55 67
16 23 72
17 32 67
18 0 44
19 87 32
20 93 90
21 34 69
22 40 60
23 35 89
24 49 5
25 56 47
26 0 20
27 15 84
28 50 97
29 18 55
30 71 69
31 2 33
32 99 38
33 17 61
34 5 35
35 13 85
36 11 31
37 86 67
38 6 34
39 53 71
40 38 84
41 0 24
42 53 28
43 93 55
44 19 12
45 55 95
46 66 44
47 12 82
48 31 65
49 20 41
50 66 12
EOF
