NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 69 21
2 19 69
3 69 48
4 55 58
5 26 6
6 18 34
7 13 24
8 20 76
9 34 74
10 96 30
11 12 73
12 44 10
13 1 79
14 15 51
15 84 59
16 74 65
17 48 75
18 98 70
19 2 44
20 88 62
21 93 46
22 56 81
23 60 34
24 74 34
25 6 76
26 9 7
27 67 27
28 71 69
29 12 68
30 80 44
31 19 37
32 7 1
33 25 50
34 52 0
35 13 71
36 85 86
37 65 55
38 94 93
39 64 61
40 31 81
41 99 47
42 37 36
43 15 5
44 29 51
45 0 74
46 1 33
47 12 82
48 58 30
49 2 1
50 37 79
EOF
