--------------------------------------------------
Experiment Date: 2025-01-09 17:33:52
Instance Information: 50 nodes  TSP Problems
Algorithm: CPLEX
--------------------------------------------------
Problem    Cost       Time(s)    Mermory(MB) 
p01        576        31.75      16.75      
p02        576        119.53     65.54      
p03        583        113.38     38.28      
p04        550        128.02     126.28     
p05        545        15.05      51.57      
p06        532        13.22      105.57     
p07        529        4.13       131.57     
p08        548        18.07      49.24      
p09        551        11.09      105.24     
p10        612        600.10     40.76      
p11        547        600.04     112.76     
p12        537        3.59       20.18      
p13        593        38.94      80.18      
p14        521        11.76      134.18     
p15        583        39.48      40.00      
p16        584        6.87       82.00      
p17        571        2.20       108.00     
p18        617        38.31      30.25      
p19        516        55.11      108.25     
p20        539        26.67      25.28      
