--------------------------------------------------
Experiment Date: 2025-01-09 21:11:28
Instance Information: 50 nodes  TSP Problems
Algorithm: SA
--------------------------------------------------
Problem    Cost       Time(s)    Mermory(MB) 
p01        614        1.76       128.00     
p02        594        1.70       2.07       
p03        591        1.72       50.07      
p04        574        1.76       180.08     
p05        569        1.73       90.07      
p06        606        1.68       178.07     
p07        530        1.66       86.08      
p08        590        1.65       176.08     
p09        633        1.65       84.08      
p10        669        1.65       172.08     
p11        593        1.66       82.08      
p12        588        1.66       170.08     
p13        653        1.64       78.08      
p14        586        1.64       166.08     
p15        631        1.66       74.09      
p16        628        1.59       162.08     
p17        605        1.72       72.08      
p18        659        1.63       160.08     
p19        542        1.64       68.08      
p20        604        1.78       156.08     
